monastery_Lde,monastery_Len,monastery_Dde,monastery_Den,building_Lde,building_Len,building_Dde,building_Den
"Deutschordenshaus Judenrode, Gürath","Teutonic Order of Judenrode, Gürath",,,"""Gebäudekomplex Deutschordenshaus Judenrode, Gürath (Gürath)""","Building complex Teutonic Order of Judenrode, Gürath (Gürath)","""Gebäudekomplex Gürath des Deutschordenshauses Judenrode, Gürath""","Building complex Gürath of the Teutonic Order house Judenrode, Gürath"
"Ursulinenkloster Luzern, Schweiz","Ursuline monastery of Lucerne, Switzerland",,,"""Gebäudekomplex Ursulinenkloster Luzern, Schweiz""","Building complex Ursuline monastery of Lucerne, Switzerland","""Gebäudekomplex des Ursulinenklosters Luzern, Schweiz""","Building complex of the Ursuline monastery of Lucerne, Switzerland"
"Franziskanerterziarinnenkloster Kaltern (Caldaro), Italien","Tertiaries of Kaltern (Caldaro), Italy",,,"""Gebäudekomplex Franziskanerterziarinnenkloster Kaltern (Caldaro), Italien (Kaltern)""","Building complex Tertiaries of Kaltern (Caldaro), Italy (Kaltern)","""Gebäudekomplex Kaltern des Franziskanerterziarinnenklosters Kaltern (Caldaro), Italien""","Building complex Kaltern of the Tertiaries of Kaltern (Caldaro), Italy"
"Benediktinerkloster Brüttelen, Schweiz","Benedictine monastery Brüttelen, Switzerland",,,"""Gebäudekomplex Benediktinerkloster Brüttelen, Schweiz""","Building complex Benedictine monastery Brüttelen, Switzerland","""Gebäudekomplex des Benediktinerklosters Brüttelen, Schweiz""","Building complex of the Benedictine monastery Brüttelen, Switzerland"
Johanniterkommende Krautheim,Knights Hospitallers of Krautheim,,,"""Gebäudekomplex Johanniterkommende Krautheim""",Building complex Knights Hospitallers of Krautheim,"""Gebäudekomplex der Johanniterkommende Krautheim""",Building complex of the Knights Hospitallers of Krautheim
Zisterzienserinnenkloster Blatzheim,Cistercian nunnery of Blatzheim,,,"""Gebäudekomplex Zisterzienserinnenkloster Blatzheim""",Building complex Cistercian nunnery of Blatzheim,"""Gebäudekomplex des Zisterzienserinnenklosters Blatzheim""",Building complex of the Cistercian nunnery of Blatzheim
Augustinerchorherrenstift Rebdorf,Canons Regular of St Augustine of Rebdorf,,,"""Gebäudekomplex Augustinerchorherrenstift Rebdorf (Rebdorf)""",Building complex Canons Regular of St Augustine of Rebdorf (Rebdorf),"""Gebäudekomplex Rebdorf des Augustinerchorherrenstifts Rebdorf""",Building complex Rebdorf of the Canons Regular of St Augustine of Rebdorf
"Kollegiatstift St. Nikolaus, Überlingen","Collegiate Church of St. Nikolaus, Überlingen",,,"""Gebäudekomplex Kollegiatstift St. Nikolaus, Überlingen""","Building complex Collegiate Church of St. Nikolaus, Überlingen","""Gebäudekomplex des Kollegiatstifts St. Nikolaus, Überlingen""","Building complex of the Collegiate Church of St. Nikolaus, Überlingen"
"Benediktinerabtei Saint-Ghislain, Belgien","Benedictine abbey of Saint-Ghislain, Belgium",,,"""Gebäudekomplex Benediktinerabtei Saint-Ghislain, Belgien (Saint-Ghislain)""","Building complex Benedictine abbey of Saint-Ghislain, Belgium (Saint-Ghislain)","""Gebäudekomplex Saint-Ghislain der Benediktinerabtei Saint-Ghislain, Belgien""","Building complex Saint-Ghislain of the Benedictine abbey of Saint-Ghislain, Belgium"
"Kollegiatstift St. Georg, Wernigerode","Collegiate Church of St. George, Wernigerode",,,"""Gebäudekomplex Kollegiatstift St. Georg, Wernigerode""","Building complex Collegiate Church of St. George, Wernigerode","""Gebäudekomplex des Kollegiatstifts St. Georg, Wernigerode""","Building complex of the Collegiate Church of St. George, Wernigerode"
Benediktinerkloster Attel,Benedictine monastery Attel,,,"""Gebäudekomplex Benediktinerkloster Attel""",Building complex Benedictine monastery Attel,"""Gebäudekomplex des Benediktinerklosters Attel""",Building complex of the Benedictine monastery Attel
"Klarissenkloster Heiligenberg, Jugenheim","Poor Clare monastery of Heiligenberg, Jugenheim",,,"""Gebäudekomplex Klarissenkloster Heiligenberg, Jugenheim (Heiligenberg)""","Building complex Poor Clare monastery of Heiligenberg, Jugenheim (Heiligenberg)","""Gebäudekomplex Heiligenberg des Klarissenklosters Heiligenberg, Jugenheim""","Building complex Heiligenberg of the Poor Clare monastery Heiligenberg, Jugenheim"
Pönitentenrekollektinnenkloster (Franziskanerinnen) Aachen,Penitent Recollects (Franciscan nuns) of Aachen,,,"""Gebäudekomplex Pönitentenrekollektinnenkloster (Franziskanerinnen) Aachen""",Building complex Penitent Recollects (Franciscan nuns) of Aachen,"""Gebäudekomplex des Pönitentenrekollektinnenklosters (Franziskanerinnen) Aachen""",Building complex of the Penitent Recollects (Franciscan nuns) of Aachen
Zisterzienserinnenkloster Nicolaurieth,Cistercian nunnery Nicolaurieth,,,"""Gebäudekomplex Zisterzienserinnenkloster Nicolaurieth (Mönchpfiffel)""",Building complex of the Cistercian nunnery Nicolaurieth (Mönchpfiffel),"""Gebäudekomplex Mönchpfiffel des Zisterzienserinnenklosters Nicolaurieth""",Building complex Mönchpfiffel of the Cistercian nunnery Nicolaurieth
"Zisterzienserkloster Villers, Belgien","Cistercian monastery of Villers, Belgium",,,"""Gebäudekomplex Zisterzienserkloster Villers, Belgien""","Building complex Cistercian monastery of Villers, Belgium","""Gebäudekomplex des Zisterzienserklosters Villers, Belgien""","Building complex of the Cistercian monastery of Villers, Belgium"
